,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
784,0,3,1,25.0,0,0,7.05,2
14,1,1,0,47.0,1,0,61.175,2
242,0,2,1,29.0,0,0,10.5,2
755,1,2,1,0.67,1,1,14.5,2
122,0,2,1,32.5,1,0,30.0708,0
208,1,3,0,16.0,0,0,7.75,1
156,1,3,0,16.0,0,0,7.7333,1
146,1,3,1,27.0,0,0,7.7958,2
33,0,2,1,66.0,0,0,10.5,2
13,0,3,1,39.0,1,5,31.275,2
203,0,3,1,45.5,0,0,7.225,0
403,0,1,1,17.0,0,0,47.1,2
567,0,3,0,29.0,0,4,21.075,2
887,1,1,0,19.0,0,0,30.0,2
623,0,3,1,21.0,0,0,7.8542,2
780,1,3,0,13.0,0,0,7.2292,0
580,1,2,0,25.0,1,1,30.0,2
239,0,2,1,33.0,0,0,12.275,2
108,0,3,1,38.0,0,0,7.8958,2
429,1,3,1,32.0,0,0,8.05,2
283,1,3,0,9.0,1,1,15.2458,0
752,0,3,1,33.0,0,0,9.5,2
349,0,3,1,42.0,0,0,8.6625,2
37,0,3,1,21.0,0,0,8.05,2
871,1,1,0,47.0,1,1,52.5542,2
356,1,1,0,22.0,0,1,55.0,2
673,1,2,1,31.0,0,0,13.0,2
412,1,3,0,28.0,0,0,7.775,2
193,0,2,1,61.0,0,0,12.35,1
320,0,3,1,22.0,0,0,7.25,2
710,1,1,0,24.0,0,0,49.5042,0
187,1,1,1,45.0,0,0,26.55,2
824,0,3,1,2.0,4,1,39.6875,2
138,0,3,1,16.0,0,0,9.2167,2
381,0,3,1,26.0,0,0,7.8792,1
25,1,3,0,38.0,1,5,31.3875,2
800,0,2,1,34.0,0,0,13.0,2
145,0,3,1,31.0,3,0,18.0,2
529,0,2,1,23.0,2,1,11.5,2
577,1,1,0,39.0,1,0,55.9,2
775,0,3,1,18.0,0,0,7.75,2
394,1,3,0,24.0,0,2,16.7,2
430,1,1,1,28.0,0,0,26.55,2
543,1,2,1,32.0,1,0,26.0,2
622,1,3,1,20.0,1,1,15.7417,0
16,0,2,1,35.0,0,0,12.35,1
463,0,2,1,48.0,0,0,13.0,2
226,0,3,1,23.0,0,0,7.7958,2
398,0,3,1,22.0,0,0,7.775,2
8,1,3,0,27.0,0,2,11.1333,2
686,0,3,1,14.0,4,1,39.6875,2
885,0,3,0,39.0,0,5,29.125,1
355,0,1,1,50.0,0,0,26.0,2
128,0,2,1,42.0,0,0,13.0,2
299,0,3,1,29.0,0,0,7.8542,2
609,1,1,0,40.0,0,0,153.4625,2
770,0,3,1,24.0,0,0,9.5,2
331,0,1,1,45.5,0,0,28.5,2
467,0,1,1,56.0,0,0,26.55,2
744,1,3,1,31.0,0,0,7.925,2
758,0,3,1,34.0,0,0,8.05,2
305,1,1,0,64.0,1,1,26.55,2
70,1,3,0,24.0,0,0,7.75,1
225,0,3,1,22.0,0,0,9.35,2
606,0,3,1,30.0,0,0,7.8958,2
395,0,3,1,22.0,0,0,7.7958,2
677,1,3,0,18.0,0,0,9.8417,2
132,0,3,0,47.0,1,0,14.5,2
157,1,3,0,23.0,0,0,7.8542,2
272,1,1,0,26.0,1,0,136.7792,0
471,0,3,1,38.0,0,0,8.6625,2
75,0,1,1,32.5,0,0,211.5,0
561,0,3,1,40.0,0,0,7.8958,2
97,0,3,1,29.0,0,0,7.925,2
72,0,2,1,21.0,0,0,73.5,2
255,1,3,0,29.0,0,2,15.2458,0
343,0,2,1,25.0,0,0,13.0,2
95,0,3,1,25.0,0,0,7.7958,2
330,1,2,0,48.0,0,2,36.75,2
754,1,2,0,48.0,1,2,65.0,2
188,0,3,1,40.0,1,1,15.5,1
316,0,1,1,57.0,1,0,146.5208,0
551,0,2,1,27.0,0,0,26.0,2
198,0,2,1,23.0,0,0,10.5,2
139,0,1,1,24.0,0,0,79.2,0
390,1,1,1,36.0,1,2,120.0,2
521,0,3,1,22.0,0,0,7.8958,2
23,1,1,1,28.0,0,0,35.5,2
883,0,2,1,28.0,0,0,10.5,2
131,0,1,1,53.0,0,0,28.5,0
397,0,2,1,46.0,0,0,26.0,2
323,1,2,0,22.0,1,1,29.0,2
133,1,2,0,29.0,1,0,26.0,2
244,0,3,1,30.0,0,0,7.225,0
263,1,3,0,1.0,1,1,12.1833,2
62,0,3,1,18.0,0,0,7.75,2
140,1,3,0,10.0,5,2,46.9,2
638,0,3,0,41.0,0,5,39.6875,2
243,0,3,1,22.0,0,0,7.125,2
492,0,1,1,55.0,0,0,30.5,2
261,0,3,1,21.0,0,0,7.8542,2
93,0,3,1,26.0,1,2,20.575,2
101,0,2,1,27.0,1,0,26.0,2
581,1,1,0,39.0,1,1,110.8833,0
90,1,3,0,22.0,1,0,13.9,2
880,1,2,0,25.0,0,1,26.0,2
873,0,3,1,47.0,0,0,9.0,2
371,1,1,0,31.0,0,0,134.5,0
276,0,2,1,28.0,0,0,10.5,2
154,0,3,1,13.0,4,2,31.3875,2
626,0,2,1,57.0,0,0,12.35,1
191,0,2,1,19.0,0,0,13.0,2
854,0,2,0,44.0,1,0,26.0,2
402,0,3,0,21.0,1,0,9.825,2
619,0,2,1,26.0,0,0,10.5,2
137,0,2,1,26.0,0,0,13.0,2
634,0,3,0,9.0,3,2,27.9,2
263,0,1,1,40.0,0,0,0.0,2
218,1,1,0,50.0,1,1,211.5,0
510,1,3,1,29.0,0,0,7.75,1
625,0,1,1,61.0,0,0,32.3208,2
801,1,2,0,31.0,1,1,26.25,2
695,0,2,1,52.0,0,0,13.5,2
7,0,2,1,26.0,1,1,29.0,2
319,1,1,0,40.0,1,1,134.5,0
791,0,2,1,16.0,0,0,26.0,2
129,0,3,1,45.0,0,0,6.975,2
822,0,1,1,38.0,0,0,0.0,2
391,1,3,1,21.0,0,0,7.7958,2
3,0,3,1,27.0,0,0,8.6625,2
147,0,3,0,9.0,2,2,34.375,2
651,1,2,0,18.0,0,1,23.0,2
339,0,1,1,45.0,0,0,35.5,2
171,0,3,1,27.0,0,0,7.225,0
21,0,3,1,9.0,0,1,3.1708,2
113,0,3,0,20.0,1,0,9.825,2
701,1,1,1,35.0,0,0,26.2875,2
587,1,1,1,60.0,1,1,79.2,0
226,1,2,1,19.0,0,0,10.5,2
179,1,1,0,64.0,0,2,83.1583,0
190,0,2,1,34.0,1,0,26.0,2
236,0,2,1,44.0,1,0,26.0,2
731,0,3,1,11.0,0,0,18.7875,0
99,0,2,1,34.0,1,0,26.0,2
178,0,2,1,30.0,0,0,13.0,2
396,0,3,1,24.0,0,0,7.25,1
144,0,1,1,42.0,0,0,26.55,2
719,0,3,1,33.0,0,0,7.775,2
234,0,2,1,24.0,0,0,10.5,2
73,0,3,1,26.0,1,0,14.4542,0
10,1,3,0,4.0,1,1,16.7,2
714,0,2,1,52.0,0,0,13.0,2
526,1,2,0,50.0,0,0,10.5,2
159,1,3,0,26.0,0,2,13.775,2
83,0,1,1,28.0,0,0,47.1,2
678,0,3,0,43.0,1,6,46.9,2
338,0,2,1,25.0,0,0,31.5,2
314,1,1,0,55.0,0,0,135.6333,0
520,1,1,0,30.0,0,0,93.5,2
487,0,1,1,58.0,0,0,29.7,0
333,1,3,0,19.0,1,1,15.7417,0
424,0,3,1,18.0,1,1,20.2125,2
408,0,3,1,21.0,0,0,7.775,2
189,0,2,1,40.0,0,0,13.0,2
388,0,3,1,21.0,0,0,7.75,1
469,1,3,0,0.75,2,1,19.2583,0
9,0,3,1,21.0,2,0,24.15,2
886,0,2,1,27.0,0,0,13.0,2
300,0,3,1,32.0,0,0,7.775,2
340,0,2,1,18.0,0,0,10.5,2
258,1,1,0,35.0,0,0,512.3292,0
183,1,2,1,1.0,2,1,39.0,2
209,1,1,1,40.0,0,0,31.0,0
220,1,3,1,16.0,0,0,8.05,2
493,0,1,1,71.0,0,0,49.5042,0
516,1,2,0,34.0,0,0,10.5,2
258,1,2,0,19.0,0,0,13.0,2
366,1,1,0,60.0,1,0,75.25,0
782,0,1,1,29.0,0,0,30.0,2
572,1,1,1,36.0,0,0,26.3875,2
149,0,2,1,30.0,1,1,26.0,2
374,0,3,0,3.0,3,1,21.075,2
143,0,2,1,28.0,0,0,26.0,2
371,0,3,1,18.0,1,0,6.4958,2
52,1,1,0,49.0,1,0,76.7292,0
118,0,1,1,24.0,0,1,247.5208,0
405,0,2,1,34.0,1,0,21.0,2
401,0,3,1,26.0,0,0,8.05,2
57,0,3,1,25.0,0,0,7.65,2
53,1,1,0,28.0,3,2,263.0,2
11,0,1,1,46.0,0,0,26.0,2
743,0,3,1,24.0,1,0,16.1,2
337,0,3,1,39.0,0,2,7.2292,0
675,0,3,1,18.0,0,0,7.775,2
316,1,2,0,24.0,1,0,26.0,2
314,0,2,1,43.0,1,1,26.25,2
233,1,3,0,5.0,4,2,31.3875,2
149,0,2,1,42.0,0,0,13.0,2
617,0,3,0,26.0,1,0,16.1,2
171,0,3,1,4.0,4,1,29.125,1
66,1,2,0,29.0,0,0,10.5,2
726,1,2,0,30.0,3,0,21.0,2
855,1,3,0,18.0,0,1,9.35,2
437,1,2,0,24.0,2,3,18.75,2
192,0,3,1,11.5,1,1,14.5,2
447,1,1,1,34.0,0,0,26.55,2
228,0,2,1,18.0,0,0,13.0,2
105,0,3,1,28.0,0,0,7.8958,2
416,1,2,0,34.0,1,1,32.5,2
725,0,3,1,20.0,0,0,8.6625,2
449,1,1,1,52.0,0,0,30.5,2
847,0,3,1,35.0,0,0,7.8958,0
254,0,3,1,32.5,0,0,9.5,2
862,1,1,0,48.0,0,0,25.9292,2
6,0,1,1,54.0,0,0,51.8625,2
38,0,3,1,25.0,0,0,9.5,2
802,1,1,1,11.0,1,2,120.0,2
414,1,3,1,44.0,0,0,7.925,2
373,0,2,1,44.0,0,0,13.0,2
296,1,2,0,1.0,1,2,41.5792,0
170,0,1,1,61.0,0,0,33.5,2
28,0,1,1,41.0,0,0,30.5,2
21,1,2,1,34.0,0,0,13.0,2
764,0,3,1,16.0,0,0,7.775,2
259,0,3,1,21.0,0,0,7.775,2
281,0,3,1,0.75,1,1,13.775,2
264,0,2,1,30.0,0,0,12.7375,0
556,1,1,0,48.0,1,0,39.6,0
41,0,2,0,27.0,1,0,21.0,2
661,0,3,1,40.0,0,0,7.225,0
479,1,3,0,2.0,0,1,12.2875,2
796,1,1,0,49.0,0,0,25.9292,2
80,0,3,1,6.0,1,1,15.2458,0
157,0,3,1,30.0,0,0,8.05,2
477,0,3,1,29.0,1,0,7.0458,2
360,0,3,1,14.5,8,2,69.55,2
248,1,2,0,29.0,1,0,26.0,2
43,1,2,0,3.0,1,2,41.5792,0
43,1,2,0,30.0,0,0,13.0,2
645,1,1,1,48.0,1,0,76.7292,0
173,0,3,1,21.0,0,0,7.925,2
548,0,3,1,33.0,1,1,20.525,2
319,0,2,1,22.0,2,0,31.5,2
525,0,3,1,40.5,0,0,7.75,1
106,0,3,1,21.0,0,0,7.8208,1
460,1,1,1,48.0,0,0,26.55,2
144,0,2,1,18.0,0,0,11.5,2
364,1,1,0,25.0,1,0,55.4417,0
396,0,3,0,31.0,0,0,7.8542,2
378,0,3,1,20.0,0,0,4.0125,0
659,0,1,1,58.0,0,2,113.275,0
4,0,3,1,35.0,0,0,8.05,2
86,1,3,0,27.0,0,0,7.8792,1
756,0,3,1,28.0,0,0,7.7958,2
781,1,1,0,17.0,1,0,57.0,2
691,1,3,0,4.0,0,1,13.4167,0
342,0,2,1,28.0,0,0,13.0,2
276,0,3,0,45.0,0,0,7.75,2
126,0,3,1,22.0,0,0,7.7958,2
174,0,1,1,56.0,0,0,30.6958,0
97,1,1,1,23.0,0,1,63.3583,0
19,1,3,0,45.0,0,0,7.225,0
211,1,2,0,35.0,0,0,21.0,2
265,0,2,1,36.0,0,0,10.5,2
331,0,1,1,39.0,0,0,29.7,0
285,0,3,1,33.0,0,0,8.6625,0
357,0,2,0,38.0,0,0,13.0,2
290,1,1,0,26.0,0,0,78.85,2
147,0,3,1,22.0,0,0,8.05,2
373,0,1,1,22.0,0,0,135.6333,0
254,0,3,0,41.0,0,2,20.2125,2
175,0,3,1,18.0,1,1,7.8542,2
68,0,1,1,31.0,0,0,28.5375,0
100,0,3,0,28.0,0,0,7.8958,2
96,1,1,0,76.0,1,0,78.85,2
390,0,1,1,23.0,0,0,93.5,2
448,1,3,0,5.0,2,1,19.2583,0
14,0,3,0,14.0,0,0,7.8542,2
212,0,3,1,22.0,0,0,7.25,2
867,0,1,1,31.0,0,0,50.4958,2
387,0,2,1,57.0,0,0,13.0,2
836,0,3,1,21.0,0,0,8.6625,2
205,0,3,0,2.0,0,1,10.4625,2
63,0,3,1,4.0,3,2,27.9,2
190,1,2,0,32.0,0,0,13.0,2
329,1,1,0,16.0,0,1,57.9792,0
284,1,3,0,2.0,1,1,20.2125,2
123,0,3,1,28.0,0,0,7.25,2
545,0,1,1,64.0,0,0,26.0,2
753,0,3,1,23.0,0,0,7.8958,2
383,1,1,0,35.0,1,0,52.0,2
180,0,2,1,30.0,0,0,13.0,2
50,0,3,1,7.0,4,1,39.6875,2
103,0,3,1,26.0,0,0,7.775,2
296,0,3,1,23.5,0,0,7.2292,0
869,1,3,1,4.0,1,1,11.1333,2
632,1,1,1,32.0,0,0,30.5,0
636,0,3,1,32.0,0,0,7.925,2
647,1,1,1,56.0,0,0,35.5,0
106,1,3,0,21.0,0,0,7.65,2
130,0,3,1,33.0,0,0,7.8958,0
811,0,3,1,39.0,0,0,24.15,2
311,1,1,0,18.0,2,2,262.375,0
554,1,3,0,22.0,0,0,7.775,2
172,0,3,1,23.0,1,0,13.9,2
313,1,3,0,37.0,0,0,7.75,1
621,1,1,1,42.0,1,0,52.5542,2
104,1,3,0,16.0,1,1,8.5167,0
398,0,2,1,23.0,0,0,10.5,2
374,1,1,0,54.0,1,1,81.8583,2
441,0,3,1,20.0,0,0,9.5,2
291,1,3,0,30.0,0,0,6.95,1
1,1,3,0,47.0,1,0,7.0,2
579,1,3,1,32.0,0,0,7.925,2
663,0,3,1,36.0,0,0,7.4958,2
307,1,1,0,17.0,1,0,108.9,0
167,0,3,0,45.0,1,4,27.9,2
761,0,3,1,41.0,0,0,7.125,2
115,0,3,1,18.0,1,0,14.4542,0
387,1,2,0,36.0,0,0,13.0,2
82,0,1,1,49.0,0,0,26.0,2
696,0,3,1,44.0,0,0,8.05,2
486,1,1,0,35.0,1,0,90.0,2
75,0,3,1,25.0,0,0,7.65,2
797,1,3,0,31.0,0,0,8.6833,2
202,0,1,1,47.0,1,0,227.525,0
415,0,3,1,38.5,0,0,7.25,2
38,0,3,0,18.0,2,0,18.0,2
377,0,2,1,21.0,0,0,11.5,2
215,1,1,0,31.0,1,0,113.275,0
708,1,1,0,22.0,0,0,151.55,2
315,1,3,0,17.0,0,0,7.7333,1
848,0,2,1,28.0,0,1,33.0,2
327,1,2,0,36.0,0,0,13.0,2
71,0,3,1,21.0,0,0,7.8958,2
238,0,2,1,19.0,0,0,10.5,2
347,1,3,0,38.0,0,0,7.2292,0
217,0,2,1,42.0,1,0,27.0,2
184,1,3,0,4.0,0,2,22.025,2
666,0,2,1,25.0,0,0,13.0,2
350,1,1,0,45.0,0,1,63.3583,0
403,0,3,1,28.0,1,0,15.85,2
62,0,1,1,45.0,1,0,83.475,2
20,0,2,1,35.0,0,0,26.0,2
253,0,3,1,24.0,0,0,9.325,2
397,1,1,0,48.0,1,1,79.2,0
588,0,3,1,22.0,0,0,8.05,2
22,1,3,0,15.0,0,0,8.0292,1
724,1,1,1,27.0,1,0,53.1,2
843,0,3,1,34.5,0,0,6.4375,0
4,1,3,0,22.0,1,1,12.2875,2
407,1,2,1,3.0,1,1,18.75,2
422,0,3,1,29.0,0,0,7.875,2
367,1,3,0,22.0,0,0,39.6875,2
92,1,1,0,27.0,1,2,52.0,2
236,0,1,1,64.0,1,0,75.25,0
417,1,2,0,18.0,0,2,13.0,2
355,0,3,1,28.0,0,0,9.5,2
400,1,3,1,39.0,0,0,7.925,2
88,1,1,0,23.0,3,2,263.0,2
48,1,1,0,60.0,0,0,76.2917,0
12,1,1,0,23.0,1,0,82.2667,2
163,0,3,1,17.0,0,0,8.6625,2
326,0,3,1,61.0,0,0,6.2375,2
717,1,2,0,27.0,0,0,10.5,2
228,0,3,1,40.5,0,0,15.1,2
404,0,1,1,43.0,1,0,27.7208,0
124,0,1,1,54.0,0,1,77.2875,2
291,1,1,0,19.0,1,0,91.0792,0
87,1,3,0,18.0,0,0,8.05,2
571,1,1,0,53.0,2,0,51.4792,2
341,0,3,1,32.0,0,0,7.5792,2
137,0,1,1,37.0,1,0,53.1,2
222,1,2,0,22.0,0,0,10.5,2
630,1,1,1,80.0,0,0,30.0,2
508,0,3,1,28.0,0,0,22.525,2
385,1,2,0,24.0,1,2,65.0,2
185,0,2,1,40.0,0,0,16.0,2
600,1,2,0,24.0,2,1,27.0,2
456,0,1,1,65.0,0,0,26.55,2
515,0,1,1,47.0,0,0,34.0208,2
295,0,3,1,26.0,0,0,7.8958,2
641,1,1,0,24.0,0,0,69.3,0
872,0,1,1,33.0,0,0,5.0,2
308,0,1,1,55.0,1,1,93.5,2
78,1,2,1,0.83,0,2,29.0,2
299,1,1,0,50.0,0,1,247.5208,0
672,0,2,1,70.0,0,0,10.5,2
665,0,2,1,32.0,2,0,73.5,2
453,1,1,1,49.0,1,0,89.1042,0
730,1,1,0,29.0,0,0,211.3375,2
594,0,2,1,37.0,1,0,26.0,2
223,0,3,1,21.0,0,0,7.7958,2
69,0,3,1,26.0,2,0,8.6625,2
61,0,2,1,32.0,0,0,13.5,2
860,0,3,1,41.0,2,0,14.1083,2
608,1,2,0,22.0,1,2,41.5792,0
120,0,2,1,21.0,2,0,73.5,2
819,0,3,1,10.0,3,2,27.9,2
827,1,2,1,1.0,0,2,37.0042,0
238,1,2,0,18.0,1,1,13.0,2
604,1,1,1,35.0,0,0,26.55,0
370,0,2,1,21.0,1,0,11.5,2
733,0,2,1,23.0,0,0,13.0,2
257,0,3,1,28.0,0,0,8.05,2
130,0,3,1,32.0,0,0,8.05,2
242,0,1,1,45.0,1,1,134.5,0
302,0,2,1,43.0,0,1,21.0,2
514,0,3,1,24.0,0,0,7.4958,2
501,0,3,0,21.0,0,0,7.75,1
746,0,3,1,16.0,1,1,20.25,2
158,0,1,1,42.0,0,0,26.55,2
40,0,3,1,39.0,0,1,13.4167,0
409,1,3,0,3.0,1,1,13.775,2
203,1,2,0,8.0,1,1,26.0,2
11,1,1,0,58.0,0,0,26.55,2
805,0,3,1,31.0,0,0,7.775,2
294,0,3,1,36.0,0,0,9.5,2
57,0,3,1,28.5,0,0,7.2292,0
73,0,1,1,28.5,0,0,27.7208,0
27,0,3,1,22.5,0,0,7.225,0
156,1,1,0,29.0,0,0,221.7792,2
325,1,1,0,36.0,0,0,135.6333,0
352,0,2,1,18.0,0,0,73.5,2
15,1,2,0,24.0,1,0,27.7208,0
340,1,2,1,2.0,1,1,26.0,2
670,1,2,0,40.0,1,1,39.0,2
806,0,1,1,39.0,0,0,0.0,2
138,1,3,0,23.0,0,0,8.05,2
530,1,2,0,2.0,1,1,26.0,2
94,0,1,1,25.0,0,0,26.0,0
212,0,2,1,17.0,0,0,73.5,2
426,1,2,0,28.0,1,0,26.0,2
750,1,2,0,4.0,1,1,23.0,2
728,0,2,1,25.0,1,0,26.0,2
603,0,3,1,44.0,0,0,8.05,2
104,0,3,1,37.0,2,0,7.925,2
232,0,2,1,59.0,0,0,13.5,2
119,0,3,0,2.0,4,2,31.275,2
539,1,1,0,22.0,0,2,49.5,0
759,1,1,0,33.0,0,0,86.5,2
583,0,1,1,36.0,0,0,40.125,0
389,1,2,0,17.0,0,0,12.0,0
812,0,2,1,35.0,0,0,10.5,2
112,1,1,0,36.0,0,0,31.6792,0
120,1,2,0,12.0,0,0,15.75,2
220,1,2,0,30.0,1,0,13.8583,0
280,1,3,0,23.0,0,0,8.6625,2
69,1,1,0,60.0,1,4,263.0,2
362,0,3,0,45.0,0,1,14.4542,0
348,0,2,1,24.0,0,0,13.5,2
25,0,3,1,50.0,1,0,14.5,2
237,1,2,0,8.0,0,2,26.25,2
221,0,3,1,21.0,0,0,8.05,2
269,0,3,1,17.0,0,0,8.6625,2
450,0,2,1,36.0,1,2,27.75,2
248,1,1,1,37.0,1,1,52.5542,2
204,1,3,1,18.0,0,0,8.05,2
8,1,3,0,18.0,0,0,7.2292,0
310,0,3,1,18.0,0,0,8.6625,2
52,1,2,0,20.0,2,1,23.0,2
687,0,3,1,19.0,0,0,10.1708,2
116,0,3,1,70.5,0,0,7.75,1
117,0,2,1,29.0,1,0,21.0,2
252,0,1,1,27.0,1,0,136.7792,0
509,1,3,1,26.0,0,0,56.4958,2
85,1,3,0,33.0,3,0,15.85,2
155,0,3,1,24.0,0,0,7.55,2
329,0,2,1,21.0,0,0,13.0,2
317,0,2,1,54.0,0,0,14.0,2
114,0,3,0,17.0,0,0,14.4583,0
668,0,3,1,43.0,0,0,8.05,2
505,0,1,1,18.0,1,0,108.9,0
311,0,3,1,22.0,0,0,7.225,0
322,0,2,1,26.0,0,0,13.0,2
161,1,2,0,40.0,0,0,15.75,2
704,0,3,1,26.0,1,0,7.8542,2
164,0,3,1,1.0,4,1,39.6875,2
876,0,3,1,20.0,0,0,9.8458,2
81,0,1,1,67.0,1,0,221.7792,2
480,0,3,1,9.0,5,2,46.9,2
359,1,3,0,30.0,1,0,15.55,2
278,0,2,1,30.0,1,0,21.0,2
64,0,1,1,13.0,2,2,262.375,0
